Model,Epoch,Loss,Accuracy,Val_Loss,Val_Accuracy
DenseNet201Model,0,5.5345357894897464,0.7851521372795105,1.944976556301117,0.8710539937019348
DenseNet201Model,1,0.5635454595088959,0.9374126434326172,0.9375907480716705,0.9176881790161133
DenseNet201Model,2,0.23788456618785853,0.9653647184371948,0.3346477001905441,0.9485548257827758
DenseNet201Model,3,0.15752389356493945,0.9759936332702637,0.41511644423007965,0.945146644115448
DenseNet201Model,4,0.1273953668773174,0.9780482769012451,0.270217615365982,0.9581697463989258
DenseNet201Model,5,0.03345707952976224,0.9931403994560242,0.3072293967008591,0.9574871778488159
DenseNet201Model,6,0.03179914783686394,0.9941691279411315,0.30341678559780116,0.9629666328430175
DenseNet201Model,7,0.05699822786264117,0.9912586092948914,0.38081630170345304,0.9506001949310303
DenseNet201Model,8,0.01779536776011806,0.9970862388610839,0.3283023476600647,0.9595349073410034
DenseNet201Model,9,0.01870240425414518,0.9964004516601562,0.2930241838097572,0.9636468529701233
DenseNet201Model,10,0.015226026849631985,0.9979429960250854,0.29557288140058513,0.9650190591812133
DenseNet201Model,11,0.012793801321640753,0.9976000905036926,0.3239148914813995,0.962269914150238
DenseNet201Model,12,0.021356516834020987,0.9962292194366456,0.3109921991825103,0.9588382124900818
DenseNet201Model,13,0.03083720265913139,0.9955436825752259,0.30577562451362605,0.9608953475952149
DenseNet201Model,14,0.01081310467779982,0.9988000392913818,0.3729856461286545,0.9595207810401917
DenseNet201Model,15,0.009623293077129327,0.9984570026397706,0.3115043520927429,0.9629642724990845
DenseNet201Model,16,0.013274129314231659,0.9970856666564941,0.3666481763124466,0.9650166988372803
DenseNet201Model,17,0.02129396066702607,0.9969136953353882,0.3825479716062546,0.9629595518112183
DenseNet201Model,18,0.015597651712596375,0.9976428002119064,0.31424031406641,0.9613931626081467
DenseNet201Model,19,0.019236746709793775,0.9978568404912949,0.3030772432684898,0.9639793038368225
DenseNet201Model,20,0.02019849093630905,0.9982854723930359,0.1811360865831375,0.9708433449268341
DenseNet201Model,21,0.01746778655797235,0.9982851147651672,0.1645537689328193,0.9708433449268341
DenseNet201Model,22,0.0146173820830881,0.9982858300209045,0.1718115992844104,0.9742797613143921
DenseNet201Model,23,0.019106908701360198,0.99871426820755,0.16120959073305124,0.9777044057846068
DenseNet201Model,24,0.0170664442703127,0.9991427361965179,0.15713442489504809,0.9777044057846068
DenseNet201Model,25,0.007511144503951,0.9991423487663268,0.2072672545909881,0.9691780805587769
DenseNet201Model,26,0.0224956069141626,0.9982847571372986,0.2530263066291809,0.9726027250289916
DenseNet201Model,27,0.0236757323145866,0.9982847571372986,0.2067592591047287,0.965753436088562
DenseNet201Model,28,0.0037096757441759,0.9982847571372986,0.1995427012443542,0.9691780805587769
DenseNet201Model,29,0.0096404161304235,0.9991423487663268,0.1986351013183593,0.9691780805587769
DenseNet201Model,30,0.0037106666713953,0.9991423487663268,0.2077016830444336,0.9726027250289916
DenseNet201Model,31,0.0035989345051348,0.9991423487663268,0.1937688589096069,0.9691780805587769
DenseNet201Model,32,0.0034380780998617,0.9991423487663268,0.1996259987354278,0.9691780805587769
DenseNet201Model,33,0.0031602277886122,0.9991423487663268,0.20020692050457,0.9691780805587769
InceptionResNetV2Model,0,10.196393966674806,0.6963363409042358,2.200411820411682,0.8271312832832336
InceptionResNetV2Model,1,1.0650824785232544,0.9015812277793884,0.6285743355751038,0.9218119025230408
InceptionResNetV2Model,2,0.5671046018600464,0.9228383064270019,0.7590263694524765,0.8984889149665832
InceptionResNetV2Model,3,0.199801567196846,0.9602211236953735,0.3786900773644447,0.9444452285766601
InceptionResNetV2Model,4,0.10194071531295772,0.9730800271034241,0.33195571303367616,0.9423998594284058
InceptionResNetV2Model,5,0.0712775789201259,0.9771965265274047,0.39498222470283506,0.9327919840812683
InceptionResNetV2Model,6,0.09894028753042218,0.9799359440803528,0.33065138161182406,0.9403262138366699
InceptionResNetV2Model,7,0.0755155187100172,0.9813127160072327,0.42859004735946654,0.9272889971733094
InceptionResNetV2Model,8,0.06172478664666412,0.9857688784599304,0.3595999270677566,0.9458245158195495
InceptionResNetV2Model,9,0.02934667463414366,0.9926262736320496,0.4630979061126709,0.9375464797019959
InceptionResNetV2Model,10,0.06055404152721165,0.9876555442810059,0.3571119248867035,0.9499246716499329
InceptionResNetV2Model,11,0.029426000081002678,0.9926284670829773,0.33355136513710015,0.9485501170158386
InceptionResNetV2Model,12,0.03883145488798612,0.9909130573272705,0.3273697584867477,0.9492373943328858
