Model,Fold,Epoch,Loss,Accuracy,Val_Loss,Val_Accuracy
DenseNet201Model,5,12,0.0153615521267056,0.9965724349021912,0.1876045167446136,0.962199330329895
DenseNet201Model,5,13,0.0475743785500526,0.9957154989242554,0.1595730781555175,0.975944995880127
DenseNet201Model,5,14,0.0363963097333908,0.9974293112754822,0.2439013868570327,0.9518900513648988
DenseNet201Model,5,15,0.010124878026545,0.9982861876487732,0.1270570605993271,0.975944995880127
DenseNet201Model,5,16,0.0088531877845525,0.999143123626709,0.1676596254110336,0.969072163105011
DenseNet201Model,5,17,0.0066659282892942,0.999143123626709,0.1488048285245895,0.975944995880127
DenseNet201Model,5,18,0.0084052048623561,0.999143123626709,0.2378138601779937,0.9484536051750184
DenseNet201Model,5,19,0.033778965473175,0.9974293112754822,0.1625341475009918,0.9725086092948914
DenseNet201Model,5,20,0.0310445129871368,0.9982861876487732,0.1475970149040222,0.9725086092948914
DenseNet201Model,5,21,0.0120216701179742,0.999143123626709,0.1366914361715316,0.9725086092948914
DenseNet201Model,5,22,0.0128466440364718,0.9974293112754822,0.1168874725699424,0.9793814420700072
DenseNet201Model,5,23,0.0163788069039583,0.9982861876487732,0.1229813545942306,0.9793814420700072
DenseNet201Model,5,24,0.013755477964878,0.999143123626709,0.1213997527956962,0.9793814420700072
InceptionResNetV2Model,1,0,10.394509315490724,0.6998284459114075,3.015354633331299,0.801369845867157
InceptionResNetV2Model,1,1,1.0309219360351562,0.9013721942901612,0.6158631443977356,0.914383590221405
InceptionResNetV2Model,1,2,0.980937361717224,0.8842195272445679,0.4559808373451233,0.91780823469162
InceptionResNetV2Model,1,3,0.2271133065223693,0.9545454382896424,0.2904058694839477,0.9554794430732728
InceptionResNetV2Model,1,4,0.0885140597820282,0.9751286506652832,0.1974271237850189,0.9417808055877686
InceptionResNetV2Model,1,5,0.065109372138977,0.9794167876243592,0.3314609229564667,0.9349315166473388
InceptionResNetV2Model,1,6,0.0827673003077507,0.9811320900917052,0.1819014996290207,0.9452054500579834
InceptionResNetV2Model,1,7,0.0444115251302719,0.9862778782844543,0.2942149043083191,0.9417808055877686
InceptionResNetV2Model,1,8,0.0433354154229164,0.9871355295181274,0.2144088745117187,0.948630154132843
InceptionResNetV2Model,1,9,0.0510240942239761,0.9837049841880798,0.163375124335289,0.9726027250289916
InceptionResNetV2Model,1,10,0.0647619441151619,0.9845626354217528,0.1844182163476944,0.9691780805587769
InceptionResNetV2Model,1,11,0.0203771516680717,0.993996560573578,0.2087212651968002,0.965753436088562
InceptionResNetV2Model,1,12,0.0327921323478221,0.989708423614502,0.2166968882083892,0.9623287916183472
InceptionResNetV2Model,1,13,0.0285348296165466,0.9914236664772034,0.1638551205396652,0.9726027250289916
InceptionResNetV2Model,1,14,0.0491081327199935,0.9914236664772034,0.160698115825653,0.9691780805587769
InceptionResNetV2Model,1,15,0.0083103002980351,0.9982847571372986,0.135153979063034,0.9794520735740662
InceptionResNetV2Model,1,16,0.0224495138972997,0.993996560573578,0.2941604256629944,0.9623287916183472
InceptionResNetV2Model,1,17,0.0211989786475896,0.9965694546699524,0.2155353128910064,0.965753436088562
InceptionResNetV2Model,1,18,0.0067265597172081,0.9991423487663268,0.3047066032886505,0.948630154132843
InceptionResNetV2Model,1,19,0.0304219685494899,0.9905660152435304,0.24910469353199,0.9691780805587769
InceptionResNetV2Model,1,20,0.0139443213120102,0.9974271059036256,0.3910594284534454,0.9554794430732728
InceptionResNetV2Model,1,21,0.0304447878152132,0.9931389093399048,0.6775925755500793,0.9075342416763306
InceptionResNetV2Model,1,22,0.1011067032814025,0.9716981053352356,0.2670861482620239,0.9623287916183472
InceptionResNetV2Model,1,23,0.0217288248240947,0.9905660152435304,0.1992316246032714,0.9726027250289916
InceptionResNetV2Model,1,24,0.0673467591404914,0.9854202270507812,1.0716347694396973,0.8904109597206116
InceptionResNetV2Model,1,25,0.1323258876800537,0.9716981053352356,1.0831427574157717,0.8801369667053223
InceptionResNetV2Model,1,26,0.0747832879424095,0.9871355295181274,0.2505229115486145,0.9452054500579834
InceptionResNetV2Model,1,27,0.0139625230804085,0.9965694546699524,0.1840001195669174,0.9760273694992064
InceptionResNetV2Model,1,28,0.0145837347954511,0.995711863040924,0.1917939633131027,0.9691780805587769
InceptionResNetV2Model,1,29,0.0249239392578601,0.9974271059036256,0.5755689144134521,0.9212328791618348
InceptionResNetV2Model,1,30,0.0213873889297246,0.994854211807251,0.2447396963834762,0.9623287916183472
InceptionResNetV2Model,2,0,11.340904235839844,0.697255551815033,1.137473464012146,0.8767123222351074
InceptionResNetV2Model,2,1,0.9575151205062866,0.9056603908538818,1.1425576210021973,0.9006849527359009
InceptionResNetV2Model,2,2,0.323135107755661,0.9485419988632202,0.4717648029327392,0.9417808055877686
InceptionResNetV2Model,2,3,0.1153193488717079,0.9716981053352356,0.3810884356498718,0.9417808055877686
InceptionResNetV2Model,2,4,0.0679661408066749,0.9802744388580322,0.5923696160316467,0.914383590221405
InceptionResNetV2Model,2,5,0.0501988939940929,0.9845626354217528,0.3650905787944793,0.9383561611175536
InceptionResNetV2Model,2,6,0.0186393838375806,0.9905660152435304,0.3371614515781402,0.9452054500579834
InceptionResNetV2Model,2,7,0.0171032790094614,0.995711863040924,0.4914242923259735,0.9349315166473388
InceptionResNetV2Model,2,8,0.0024729380384087,1.0,0.3922691643238067,0.9452054500579834
InceptionResNetV2Model,2,9,0.0015876179095357,1.0,0.3938870429992676,0.9452054500579834
InceptionResNetV2Model,2,10,0.0070413341745734,0.9982847571372986,0.4254935383796692,0.9452054500579834
InceptionResNetV2Model,2,11,0.0082832425832748,0.9965694546699524,0.4452314972877502,0.952054798603058
InceptionResNetV2Model,2,12,0.0257617626339197,0.993996560573578,0.421503484249115,0.952054798603058
InceptionResNetV2Model,2,13,0.0826564729213714,0.9785591959953308,0.53273606300354,0.948630154132843
InceptionResNetV2Model,2,14,0.0235130917280912,0.9931389093399048,0.4884903132915497,0.948630154132843
InceptionResNetV2Model,2,15,0.0469905212521553,0.9871355295181274,0.7365802526473999,0.9246575236320496
InceptionResNetV2Model,2,16,0.062280885875225,0.9819896817207336,0.6966800093650818,0.9383561611175536
InceptionResNetV2Model,2,17,0.0641125813126564,0.9862778782844543,0.8346288800239563,0.931506872177124
InceptionResNetV2Model,2,18,0.0404057651758194,0.9879931211471558,0.5534040927886963,0.9417808055877686
InceptionResNetV2Model,2,19,0.0300762448459863,0.9914236664772034,0.7351061701774597,0.9349315166473388
InceptionResNetV2Model,2,20,0.0857564806938171,0.9819896817207336,0.8892632126808167,0.914383590221405
InceptionResNetV2Model,2,21,0.134691834449768,0.9768438935279846,1.1430604457855225,0.9246575236320496
InceptionResNetV2Model,3,0,9.044825553894045,0.7255574464797974,1.657834768295288,0.8458904027938843
InceptionResNetV2Model,3,1,0.682742714881897,0.9193825125694276,0.3839227259159088,0.948630154132843
InceptionResNetV2Model,3,2,0.7126482725143433,0.9288164377212524,1.260786056518555,0.8390411138534546
InceptionResNetV2Model,3,3,0.2049724608659744,0.963979423046112,0.5766544342041016,0.9349315166473388
InceptionResNetV2Model,3,4,0.1650282144546508,0.9665523171424866,0.2807633280754089,0.952054798603058
InceptionResNetV2Model,3,5,0.0689547732472419,0.9777015447616576,0.6332353353500366,0.914383590221405
InceptionResNetV2Model,3,6,0.2775946855545044,0.9545454382896424,0.3979465663433075,0.9349315166473388
InceptionResNetV2Model,3,7,0.0899696871638298,0.9777015447616576,0.4701676070690155,0.91780823469162
InceptionResNetV2Model,3,8,0.109841451048851,0.97427099943161,0.4401543438434601,0.931506872177124
InceptionResNetV2Model,3,9,0.0374594032764434,0.9905660152435304,0.3809763193130493,0.952054798603058
InceptionResNetV2Model,3,10,0.0629379078745842,0.9871355295181274,0.3090218007564544,0.9452054500579834
InceptionResNetV2Model,3,11,0.0079116420820355,0.9965694546699524,0.4095324873924255,0.9417808055877686
InceptionResNetV2Model,3,12,0.0217325594276189,0.993996560573578,0.3375533521175384,0.9452054500579834
InceptionResNetV2Model,3,13,0.0163278430700302,0.9965694546699524,0.7765448093414307,0.9075342416763306
InceptionResNetV2Model,3,14,0.0314950421452522,0.9888507723808287,0.4456251561641693,0.9383561611175536
InceptionResNetV2Model,3,15,0.0393514670431613,0.993996560573578,0.3385571241378784,0.9349315166473388
InceptionResNetV2Model,3,16,0.0054622841998934,0.9965694546699524,0.4429112374782562,0.9280821681022644
InceptionResNetV2Model,3,17,0.0047013997100293,0.9982847571372986,0.2928398549556732,0.9554794430732728
InceptionResNetV2Model,3,18,0.0096879256889224,0.995711863040924,0.3606649339199066,0.931506872177124
InceptionResNetV2Model,3,19,0.0138879138976335,0.9965694546699524,0.4234988689422607,0.952054798603058
InceptionResNetV2Model,4,0,10.13921356201172,0.6812339425086975,1.5123114585876465,0.8659793734550476
InceptionResNetV2Model,4,1,1.0105257034301758,0.907455027103424,0.6444033980369568,0.907216489315033
InceptionResNetV2Model,4,2,0.3807867169380188,0.9237360954284668,1.4528098106384275,0.8522336483001709
InceptionResNetV2Model,4,3,0.3281104266643524,0.9425878524780272,0.5472167730331421,0.931271493434906
InceptionResNetV2Model,4,4,0.0744419768452644,0.9802913665771484,0.4498392343521118,0.9415807723999025
InceptionResNetV2Model,4,5,0.0731916800141334,0.9760068655014038,0.4261746108531952,0.938144326210022
InceptionResNetV2Model,4,6,0.0151745174080133,0.9931448101997375,0.5966524481773376,0.9243986010551452
InceptionResNetV2Model,4,7,0.2021222859621048,0.9562981724739076,0.6722392439842224,0.9106529355049132
InceptionResNetV2Model,4,8,0.0898381620645523,0.9862896203994752,0.550809383392334,0.9415807723999025
InceptionResNetV2Model,4,9,0.0411834046244621,0.9922879338264464,1.2152215242385864,0.869415819644928
